h,beta,se,nobs,upper,lower
0,-0.000420922901751501,0.000192871374665861,483,-4.28950074064136e-05,-0.000798950796096588
1,0.00030217847584565,0.000345359182987486,462,0.000979082474501122,-0.000374725522809823
2,8.05891889133011e-05,0.000344076553445228,441,0.000754979233665948,-0.000593800855839345
3,0.000764503589424028,0.000516894049363812,420,0.0017776159261771,-0.000248608747329044
4,0.000760374509446658,0.000635222123599077,399,0.00200540987170085,-0.000484660852807533
5,0.000518254976647036,0.000507142677158898,378,0.00151225462387848,-0.000475744670584404
